WBGene00011364	T02B5.3	4.12E-29	6.79E-25	168.2823	230.614821	13	4.375414	6.4059672	0.085141803	6.3208254	0.07066308	6.3208254
WBGene00013875	ZC376.3	8.41E-26	6.93E-22	151.9309	44.301085	13	5.337451	1.2305857	0.01562308	1.2149626	0.04341185	1.2149626
WBGene00015052	clec-52	3.49E-23	1.91E-19	138.9064	44.939089	13	5.301985	1.248308	0.009780899	1.2385271	0.04431258	1.2385271
WBGene00017500	pud-2.2	8.49E-22	2.80E-18	131.9662	88.321318	13	7.985541	2.45337	0.00037595	2.452994	0.02056751	2.452994
WBGene00017490	pud-2.1	8.49E-22	2.80E-18	131.9662	88.321318	13	7.985541	2.45337	0.00037595	2.452994	0.02056751	2.452994
WBGene00001399	fat-7	6.19E-21	1.70E-17	127.6322	36.476551	13	7.918823	1.0132375	0.000580464	1.0126571	0.02052542	1.0126571
WBGene00008220	C50B6.7	1.88E-20	4.43E-17	125.1957	16.264949	13	5.935504	0.4518041	0.003175837	0.4486283	0.03223342	0.4486283
WBGene00017320	F09G8.5	3.28E-20	6.75E-17	123.9829	30.462024	13	4.389306	0.8461673	0.022608774	0.8235586	0.07033999	0.8235586
WBGene00011668	clec-47	5.05E-20	9.25E-17	123.0346	34.722786	13	7.082621	0.9645218	0.00129753	0.9632243	0.02190767	0.9632243
WBGene00015577	ugt-64	1.63E-19	2.44E-16	120.4684	8.563681	13	7.266502	0.23788	0.000849198	0.2370308	0.0212605	0.2370308
WBGene00017501	pud-3	1.61E-19	2.44E-16	120.485	156.89643	13	6.422604	4.3582342	0.006512215	4.351722	0.0261301	4.351722
WBGene00010769	asah-1	2.07E-19	2.66E-16	119.9431	19.167266	13	5.720873	0.5324241	0.004231127	0.5281929	0.03577987	0.5281929
WBGene00021236	pud-1.2	2.10E-19	2.66E-16	119.9078	91.977859	13	8.05803	2.5549405	0.007969244	2.5469713	0.02063367	2.5469713
WBGene00016048	C24B9.3	4.48E-19	5.27E-16	118.2409	7.730361	13	7.115861	0.2147322	0.001016388	0.2137159	0.02177534	0.2137159
WBGene00003093	lys-4	5.04E-19	5.54E-16	117.9794	17.625235	13	8.692798	0.4895899	0.000260422	0.4893294	0.02213848	0.4893294
WBGene00015930	C17H12.4	8.60E-19	8.86E-16	116.8043	20.625301	13	6.514489	0.572925	0.002404759	0.5705203	0.02533413	0.5705203
WBGene00021055	W06A11.4	1.65E-18	1.60E-15	115.3612	15.540837	13	5.26231	0.4316899	0.006573159	0.4251167	0.04536236	0.4251167
WBGene00009773	lipl-2	8.39E-18	7.68E-15	111.7736	55.231516	13	3.484119	1.5342088	0.069398972	1.4648098	0.09574946	1.4648098
WBGene00017498	pud-4	1.26E-17	1.09E-14	110.8787	149.893892	13	5.296202	4.1637192	0.01795205	4.1457672	0.04446288	4.1457672
WBGene00000190	arf-1.1	6.54E-17	5.39E-14	107.2161	49.163418	13	4.504574	1.3656505	0.023409176	1.3422413	0.06759386	1.3422413
WBGene00003095	lys-6	1.36E-16	1.07E-13	105.5877	10.919905	13	5.049218	0.3033307	0.008507798	0.2948229	0.05161055	0.2948229
WBGene00005655	srr-4	1.44E-16	1.07E-13	105.4615	8.815366	13	5.793894	0.2448713	0.004046906	0.2408244	0.03452627	0.2408244
WBGene00019963	R08E5.3	1.49E-16	1.07E-13	105.3824	21.086658	13	6.604271	0.5857405	0.002048242	0.5836922	0.02463369	0.5836922
WBGene00014955	Y102A5C.6	1.71E-16	1.17E-13	105.0843	27.294576	13	5.112194	0.7581827	0.008400496	0.7497822	0.04967666	0.7497822
WBGene00014003	ZK593.3	2.23E-16	1.47E-13	104.4865	14.773709	13	6.609776	0.4103808	0.00163911	0.4087417	0.02459285	0.4087417
